9,6721123,K00114.01,,FALSE POSITIVE,0,0,1,1,7.36178958,0.00002128,-0.00002128,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,767.22,349.28,-365.49,47.7,1,q1_q17_dr25_tce
10,10910878,K00757.01,Kepler-229 c,CANDIDATE,1,0,0,0,16.06864674,0.00001088,-0.00001088,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,30.75,4.46,-6.66,161.9,1,q1_q17_dr25_tce
11,11446443,K00001.01,Kepler-1 b,CANDIDATE,0.811,0,0,0,2.470613377,0.000000027,-0.000000027,122.763305,0.0000087,-0.0000087,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231,4.2,-4.2,13.04,0.51,-0.51,761.46,106.21,-95.76,4304.3,1,q1_q17_dr25_tce
12,10666592,K00002.01,Kepler-2 b,CANDIDATE,1,0,1,0,2.204735417,0.000000043,-0.000000043,121.3585417,0.000016,-0.000016,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,4148.92,651.59,-654.46,5945.9,1,q1_q17_dr25_tce
13,6922244,K00010.01,Kepler-8 b,CANDIDATE,0.998,0,0,0,3.522498429,0.000000198,-0.000000198,121.1194228,0.0000471,-0.0000471,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1264.67,307.23,-276.48,1741.5,1,q1_q17_dr25_tce
14,10984090,K00112.02,Kepler-466 c,CANDIDATE,1,0,0,0,3.709214104,0.000006536,-0.000006536,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3,-3,1.16,0.17,-0.12,500.46,197.96,-130.54,50.6,2,q1_q17_dr25_tce
15,10419211,K00742.01,,FALSE POSITIVE,0,0,1,0,11.521446064,0.00000198,-0.00000198,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984,31.9,-31.9,150.51,39.76,-13.31,75.88,58.89,-19.99,622.1,1,q1_q17_dr25_tce
16,10464078,K00743.01,,FALSE POSITIVE,0,0,1,0,19.40393776,0.00002068,-0.00002068,172.484253,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,17.69,6.66,-4.88,214.7,1,q1_q17_dr25_tce
17,10480982,K00744.01,,FALSE POSITIVE,0,0,1,0,19.221388942,0.000001123,-0.000001123,184.5521637,0.000045,-0.000045,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284,21.9,-21.9,49.29,16.03,-5,55.97,54.55,-16.4,2317,1,q1_q17_dr25_tce
18,10485250,K00745.01,,FALSE POSITIVE,0,0,1,0,16.46983774,0.00001361,-0.00001361,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479,39.9,-39.9,7.94,0.89,-0.89,29.61,12.01,-8.91,303.4,1,q1_q17_dr25_tce
19,10526549,K00746.01,Kepler-660 b,CANDIDATE,1,0,0,0,9.27358173,0.00001037,-0.00001037,173.258155,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,41.85,12.49,-11.7,87.2,1,q1_q17_dr25_tce
20,10583066,K00747.01,Kepler-661 b,CANDIDATE,1,0,0,0,6.02930329,0.000005509,-0.000005509,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,50.04,16.4,-9.88,65.4,1,q1_q17_dr25_tce
21,10583180,K00748.01,,FALSE POSITIVE,0,0,1,1,2.696370652,0.000007534,-0.000007534,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,305.34,96.64,-86.33,48.2,1,q1_q17_dr25_tce
22,10601284,K00749.01,Kepler-226 c,CANDIDATE,1,0,0,0,5.349553819,0.000008834,-0.000008834,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831,14.8,-14.8,2.55,0.16,-0.24,168.99,34.66,-38.48,60.6,1,q1_q17_dr25_tce
23,10601284,K00749.02,Kepler-226 b,CANDIDATE,0.98,0,0,0,3.94105221,0.00001094,-0.00001094,136.08662,0.00233,-0.00233,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,253.15,51.91,-57.65,28.9,2,q1_q17_dr25_tce
24,10601284,K00749.03,Kepler-226 d,CANDIDATE,0.971,0,0,0,8.10904807,0.00006787,-0.00006787,132.8031,0.00716,-0.00716,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,97.03,19.9,-22.09,14.1,3,q1_q17_dr25_tce
25,2306756,K00113.01,,FALSE POSITIVE,,0,1,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927,45.8,-45.8,41.5,1.68,-1.68,1.84,0.26,-0.24,994,1,q1_q16_tce
26,10662202,K00750.01,Kepler-662 b,CANDIDATE,1,0,0,0,21.67699193,0.0000701,-0.0000701,171.53594,0.00258,-0.00258,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,18.64,2.78,-3.8,34.3,1,q1_q17_dr25_tce
27,10682541,K00751.01,Kepler-663 b,CANDIDATE,1,0,0,0,4.99677968,0.00001389,-0.00001389,171.74208,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,166.95,102.06,-42.14,28.2,1,q1_q17_dr25_tce
